0,Alec Guinness,spoof
1,Alec Guinness,spoof
2,Barack Obama,spoof
3,Alec Guinness,spoof
4,Christopher Hitchens,bona-fide
5,Ayn Rand,bona-fide
6,Barack Obama,spoof
7,Donald Trump,bona-fide
8,Donald Trump,bona-fide
9,Alec Guinness,bona-fide
10,Bernie Sanders,spoof
11,Christopher Hitchens,bona-fide
12,Calvin Coolidge,bona-fide
13,Alec Guinness,spoof
14,Barack Obama,bona-fide
15,Bernie Sanders,spoof
16,Winston Churchill,spoof
17,Winston Churchill,spoof
18,Donald Trump,bona-fide
19,Bob Ross,spoof
20,Donald Trump,bona-fide
21,Richard Nixon,spoof
22,2Pac,bona-fide
23,Donald Trump,bona-fide
24,Ronald Reagan,spoof
25,Ayn Rand,spoof
26,JFK,bona-fide
27,Arnold Schwarzenegger,bona-fide
28,Nick Offerman,bona-fide
29,Bill Clinton,bona-fide
30,Martin Luther King,bona-fide
31,Bill Burr,spoof
32,Ronald Reagan,spoof
33,Bill Clinton,bona-fide
34,Alec Guinness,spoof
35,Ayn Rand,spoof
36,Christopher Hitchens,bona-fide
37,Ronald Reagan,bona-fide
38,Barack Obama,bona-fide
39,Christopher Hitchens,bona-fide
40,Christopher Hitchens,spoof
41,Donald Trump,spoof
42,Bernie Sanders,spoof
43,Ayn Rand,spoof
44,Bernie Sanders,bona-fide
45,Mark Zuckerberg,bona-fide
46,Alec Guinness,bona-fide
47,Alec Guinness,spoof
48,Richard Nixon,bona-fide
49,Barack Obama,bona-fide
50,George W. Bush,spoof
51,Dave Chappelle,bona-fide
52,Bernie Sanders,bona-fide
53,Boris Johnson,bona-fide
54,Martin Luther King,bona-fide
55,Bill Clinton,bona-fide
56,JFK,bona-fide
57,Alan Watts,spoof
58,Mark Zuckerberg,bona-fide
59,Louis C.K.,spoof
60,The Notorious B.I.G.,spoof
61,Alec Guinness,spoof
62,Ronald Reagan,spoof
63,Ayn Rand,spoof
64,Ayn Rand,bona-fide
65,Mark Zuckerberg,spoof
66,Barack Obama,bona-fide
67,Bernie Sanders,bona-fide
68,Bernie Sanders,spoof
69,Bernie Sanders,spoof
70,Alan Watts,bona-fide
71,Jimmy Carter,bona-fide
72,Barack Obama,bona-fide
73,Bill Clinton,bona-fide
